source_index;source_name;target_path;bytes
1;ChatGPT Image 1 de jun. de 2026, 10_06_21 (1).png;assets/images/stickers/brasil-2002/brasil-2002-kaka-07.webp;635398
2;ChatGPT Image 1 de jun. de 2026, 10_06_21 (2).png;assets/images/stickers/brasil-2002/brasil-2002-edmilson-09.webp;637660
3;ChatGPT Image 1 de jun. de 2026, 10_06_21 (3).png;assets/images/stickers/brasil-2002/brasil-2002-gilberto-silva-10.webp;628982
4;ChatGPT Image 1 de jun. de 2026, 10_06_21 (4).png;assets/images/stickers/brasil-2002/brasil-2002-kleberson-11.webp;627372
5;ChatGPT Image 1 de jun. de 2026, 10_06_21 (5).png;assets/images/stickers/brasil-2002/brasil-2002-denilson-12.webp;642296
6;ChatGPT Image 1 de jun. de 2026, 16_08_01.png;assets/images/stickers/brasil-1994/brasil-1994-jorginho-05.webp;439368
7;ChatGPT Image 1 de jun. de 2026, 16_19_08.png;assets/images/stickers/brasil-1994/brasil-1994-branco-06.webp;607840
11;ChatGPT Image 1 de jun. de 2026, 16_47_50.png;assets/images/stickers/brasil-1994/brasil-1994-marcio-santos-07.webp;569054
13;ChatGPT Image 1 de jun. de 2026, 17_59_40.png;assets/images/stickers/brasil-1994/brasil-1994-mauro-silva-09.webp;583192
12;ChatGPT Image 1 de jun. de 2026, 17_51_18.png;assets/images/stickers/brasil-1994/brasil-1994-zinho-10.webp;600418
14;ChatGPT Image 2 de jun. de 2026, 12_30_57.png;assets/images/stickers/brasil-1994/brasil-1994-rai-11.webp;555356
16;ChatGPT Image 2 de jun. de 2026, 12_31_16.png;assets/images/stickers/brasil-1994/brasil-1994-mazinho-12.webp;494870
18;ChatGPT Image 30 de mai. de 2026, 11_40_02 (1).png;assets/images/stickers/brasil-1970/brasil-1970-pele-01.webp;731562
19;ChatGPT Image 30 de mai. de 2026, 11_40_02 (2).png;assets/images/stickers/brasil-1962/brasil-1962-garrincha-01.webp;678498
20;ChatGPT Image 30 de mai. de 2026, 11_40_03 (3).png;assets/images/stickers/brasil-1958/brasil-1958-didi-03.webp;674742
21;ChatGPT Image 30 de mai. de 2026, 11_40_03 (4).png;assets/images/stickers/brasil-1970/brasil-1970-jairzinho-02.webp;682056
22;ChatGPT Image 30 de mai. de 2026, 11_40_04 (5).png;assets/images/stickers/brasil-1994/brasil-1994-romario-01.webp;666300
23;ChatGPT Image 30 de mai. de 2026, 11_40_04 (6).png;assets/images/stickers/brasil-1994/brasil-1994-bebeto-02.webp;661228
24;ChatGPT Image 30 de mai. de 2026, 11_40_05 (7).png;assets/images/stickers/brasil-2002/brasil-2002-ronaldo-01.webp;659624
25;ChatGPT Image 30 de mai. de 2026, 11_40_05 (8).png;assets/images/stickers/brasil-2002/brasil-2002-ronaldinho-02.webp;647134
26;ChatGPT Image 30 de mai. de 2026, 11_40_05 (9).png;assets/images/stickers/brasil-2002/brasil-2002-rivaldo-03.webp;665080
27;ChatGPT Image 30 de mai. de 2026, 11_40_06 (10).png;assets/images/stickers/brasil-2002/brasil-2002-cafu-04.webp;668858
