id;nome;selecao/pagina;numero;posicao;raridade;caminho_da_imagem
brasil-1958-pele-01;Pelé;Brasil 1958;10;Atacante;lendaria;assets/images/stickers/brasil-1958/brasil-1958-pele-01.webp
brasil-1958-garrincha-02;Garrincha;Brasil 1958;7;Ponta;lendaria;assets/images/stickers/brasil-1958/brasil-1958-garrincha-02.webp
brasil-1958-didi-03;Didi;Brasil 1958;8;Meia;ouro;assets/images/stickers/brasil-1958/brasil-1958-didi-03.webp
brasil-1958-vava-04;Vavá;Brasil 1958;20;Atacante;ouro;assets/images/stickers/brasil-1958/brasil-1958-vava-04.webp
brasil-1958-nilton-santos-05;Nilton Santos;Brasil 1958;6;Lateral;rara;assets/images/stickers/brasil-1958/brasil-1958-nilton-santos-05.webp
brasil-1958-djalma-santos-06;Djalma Santos;Brasil 1958;4;Lateral;rara;assets/images/stickers/brasil-1958/brasil-1958-djalma-santos-06.webp
brasil-1958-bellini-07;Bellini;Brasil 1958;3;Zagueiro;rara;assets/images/stickers/brasil-1958/brasil-1958-bellini-07.webp
brasil-1958-gilmar-08;Gilmar;Brasil 1958;1;Goleiro;rara;assets/images/stickers/brasil-1958/brasil-1958-gilmar-08.webp
brasil-1958-zagallo-09;Zagallo;Brasil 1958;11;Ponta;rara;assets/images/stickers/brasil-1958/brasil-1958-zagallo-09.webp
brasil-1958-orlando-10;Orlando;Brasil 1958;2;Zagueiro;comum;assets/images/stickers/brasil-1958/brasil-1958-orlando-10.webp
brasil-1958-zito-11;Zito;Brasil 1958;5;Volante;comum;assets/images/stickers/brasil-1958/brasil-1958-zito-11.webp
brasil-1958-mazzola-12;Mazzola;Brasil 1958;18;Atacante;comum;assets/images/stickers/brasil-1958/brasil-1958-mazzola-12.webp
brasil-1962-garrincha-01;Garrincha;Brasil 1962;7;Ponta;lendaria;assets/images/stickers/brasil-1962/brasil-1962-garrincha-01.webp
brasil-1962-pele-02;Pelé;Brasil 1962;10;Atacante;lendaria;assets/images/stickers/brasil-1962/brasil-1962-pele-02.webp
brasil-1962-amarildo-03;Amarildo;Brasil 1962;20;Atacante;ouro;assets/images/stickers/brasil-1962/brasil-1962-amarildo-03.webp
brasil-1962-vava-04;Vavá;Brasil 1962;9;Atacante;ouro;assets/images/stickers/brasil-1962/brasil-1962-vava-04.webp
brasil-1962-didi-05;Didi;Brasil 1962;8;Meia;ouro;assets/images/stickers/brasil-1962/brasil-1962-didi-05.webp
brasil-1962-zagallo-06;Zagallo;Brasil 1962;11;Ponta;rara;assets/images/stickers/brasil-1962/brasil-1962-zagallo-06.webp
brasil-1962-zito-07;Zito;Brasil 1962;5;Volante;rara;assets/images/stickers/brasil-1962/brasil-1962-zito-07.webp
brasil-1962-nilton-santos-08;Nilton Santos;Brasil 1962;6;Lateral;rara;assets/images/stickers/brasil-1962/brasil-1962-nilton-santos-08.webp
brasil-1962-djalma-santos-09;Djalma Santos;Brasil 1962;4;Lateral;rara;assets/images/stickers/brasil-1962/brasil-1962-djalma-santos-09.webp
brasil-1962-mauro-ramos-10;Mauro Ramos;Brasil 1962;3;Zagueiro;comum;assets/images/stickers/brasil-1962/brasil-1962-mauro-ramos-10.webp
brasil-1962-gilmar-11;Gilmar;Brasil 1962;1;Goleiro;comum;assets/images/stickers/brasil-1962/brasil-1962-gilmar-11.webp
brasil-1962-zozimo-12;Zózimo;Brasil 1962;2;Zagueiro;comum;assets/images/stickers/brasil-1962/brasil-1962-zozimo-12.webp
brasil-1970-pele-01;Pelé;Brasil 1970;10;Atacante;lendaria;assets/images/stickers/brasil-1970/brasil-1970-pele-01.webp
brasil-1970-jairzinho-02;Jairzinho;Brasil 1970;7;Atacante;lendaria;assets/images/stickers/brasil-1970/brasil-1970-jairzinho-02.webp
brasil-1970-tostao-03;Tostão;Brasil 1970;9;Atacante;ouro;assets/images/stickers/brasil-1970/brasil-1970-tostao-03.webp
brasil-1970-rivelino-04;Rivelino;Brasil 1970;11;Meia;ouro;assets/images/stickers/brasil-1970/brasil-1970-rivelino-04.webp
brasil-1970-carlos-alberto-05;Carlos Alberto;Brasil 1970;4;Lateral;ouro;assets/images/stickers/brasil-1970/brasil-1970-carlos-alberto-05.webp
brasil-1970-gerson-06;Gérson;Brasil 1970;8;Meia;ouro;assets/images/stickers/brasil-1970/brasil-1970-gerson-06.webp
brasil-1970-clodoaldo-07;Clodoaldo;Brasil 1970;5;Volante;rara;assets/images/stickers/brasil-1970/brasil-1970-clodoaldo-07.webp
brasil-1970-piazza-08;Piazza;Brasil 1970;6;Zagueiro;rara;assets/images/stickers/brasil-1970/brasil-1970-piazza-08.webp
brasil-1970-felix-09;Félix;Brasil 1970;1;Goleiro;rara;assets/images/stickers/brasil-1970/brasil-1970-felix-09.webp
brasil-1970-brito-10;Brito;Brasil 1970;2;Zagueiro;comum;assets/images/stickers/brasil-1970/brasil-1970-brito-10.webp
brasil-1970-everaldo-11;Everaldo;Brasil 1970;3;Lateral;comum;assets/images/stickers/brasil-1970/brasil-1970-everaldo-11.webp
brasil-1970-paulo-cesar-caju-12;Paulo César Caju;Brasil 1970;16;Atacante;comum;assets/images/stickers/brasil-1970/brasil-1970-paulo-cesar-caju-12.webp
brasil-1994-romario-01;Romário;Brasil 1994;11;Atacante;lendaria;assets/images/stickers/brasil-1994/brasil-1994-romario-01.webp
brasil-1994-bebeto-02;Bebeto;Brasil 1994;7;Atacante;ouro;assets/images/stickers/brasil-1994/brasil-1994-bebeto-02.webp
brasil-1994-dunga-03;Dunga;Brasil 1994;8;Volante;ouro;assets/images/stickers/brasil-1994/brasil-1994-dunga-03.webp
brasil-1994-taffarel-04;Taffarel;Brasil 1994;1;Goleiro;ouro;assets/images/stickers/brasil-1994/brasil-1994-taffarel-04.webp
brasil-1994-jorginho-05;Jorginho;Brasil 1994;2;Lateral;rara;assets/images/stickers/brasil-1994/brasil-1994-jorginho-05.webp
brasil-1994-branco-06;Branco;Brasil 1994;6;Lateral;rara;assets/images/stickers/brasil-1994/brasil-1994-branco-06.webp
brasil-1994-marcio-santos-07;Márcio Santos;Brasil 1994;15;Zagueiro;rara;assets/images/stickers/brasil-1994/brasil-1994-marcio-santos-07.webp
brasil-1994-aldair-08;Aldair;Brasil 1994;13;Zagueiro;rara;assets/images/stickers/brasil-1994/brasil-1994-aldair-08.webp
brasil-1994-mauro-silva-09;Mauro Silva;Brasil 1994;5;Volante;rara;assets/images/stickers/brasil-1994/brasil-1994-mauro-silva-09.webp
brasil-1994-zinho-10;Zinho;Brasil 1994;9;Meia;comum;assets/images/stickers/brasil-1994/brasil-1994-zinho-10.webp
brasil-1994-rai-11;Raí;Brasil 1994;10;Meia;comum;assets/images/stickers/brasil-1994/brasil-1994-rai-11.webp
brasil-1994-mazinho-12;Mazinho;Brasil 1994;17;Meia;comum;assets/images/stickers/brasil-1994/brasil-1994-mazinho-12.webp
brasil-2002-ronaldo-01;Ronaldo;Brasil 2002;9;Atacante;lendaria;assets/images/stickers/brasil-2002/brasil-2002-ronaldo-01.webp
brasil-2002-ronaldinho-02;Ronaldinho;Brasil 2002;11;Meia;lendaria;assets/images/stickers/brasil-2002/brasil-2002-ronaldinho-02.webp
brasil-2002-rivaldo-03;Rivaldo;Brasil 2002;10;Meia;lendaria;assets/images/stickers/brasil-2002/brasil-2002-rivaldo-03.webp
brasil-2002-cafu-04;Cafu;Brasil 2002;2;Lateral;ouro;assets/images/stickers/brasil-2002/brasil-2002-cafu-04.webp
brasil-2002-roberto-carlos-05;Roberto Carlos;Brasil 2002;6;Lateral;ouro;assets/images/stickers/brasil-2002/brasil-2002-roberto-carlos-05.webp
brasil-2002-marcos-06;Marcos;Brasil 2002;1;Goleiro;ouro;assets/images/stickers/brasil-2002/brasil-2002-marcos-06.webp
brasil-2002-kaka-07;Kaká;Brasil 2002;23;Meia;rara;assets/images/stickers/brasil-2002/brasil-2002-kaka-07.webp
brasil-2002-lucio-08;Lúcio;Brasil 2002;3;Zagueiro;rara;assets/images/stickers/brasil-2002/brasil-2002-lucio-08.webp
brasil-2002-edmilson-09;Edmílson;Brasil 2002;5;Zagueiro;rara;assets/images/stickers/brasil-2002/brasil-2002-edmilson-09.webp
brasil-2002-gilberto-silva-10;Gilberto Silva;Brasil 2002;8;Volante;rara;assets/images/stickers/brasil-2002/brasil-2002-gilberto-silva-10.webp
brasil-2002-kleberson-11;Kléberson;Brasil 2002;15;Meia;comum;assets/images/stickers/brasil-2002/brasil-2002-kleberson-11.webp
brasil-2002-denilson-12;Denílson;Brasil 2002;17;Atacante;comum;assets/images/stickers/brasil-2002/brasil-2002-denilson-12.webp
brasil-2026-vini-jr-01;Vini Jr;Brasil 2026;7;Atacante;lendaria;assets/images/stickers/brasil-2026/brasil-2026-vini-jr-01.webp
brasil-2026-rodrygo-02;Rodrygo;Brasil 2026;10;Atacante;ouro;assets/images/stickers/brasil-2026/brasil-2026-rodrygo-02.webp
brasil-2026-neymar-jr-03;Neymar Jr;Brasil 2026;10;Atacante;lendaria;assets/images/stickers/brasil-2026/brasil-2026-neymar-jr-03.webp
brasil-2026-endrick-04;Endrick;Brasil 2026;9;Atacante;ouro;assets/images/stickers/brasil-2026/brasil-2026-endrick-04.webp
brasil-2026-alisson-05;Alisson;Brasil 2026;1;Goleiro;ouro;assets/images/stickers/brasil-2026/brasil-2026-alisson-05.webp
brasil-2026-bruno-guimaraes-06;Bruno Guimarães;Brasil 2026;8;Meia;rara;assets/images/stickers/brasil-2026/brasil-2026-bruno-guimaraes-06.webp
brasil-2026-marquinhos-07;Marquinhos;Brasil 2026;4;Zagueiro;rara;assets/images/stickers/brasil-2026/brasil-2026-marquinhos-07.webp
brasil-2026-raphinha-08;Raphinha;Brasil 2026;19;Ponta;comum;assets/images/stickers/brasil-2026/brasil-2026-raphinha-08.webp
sel-argentina-messi-01;Messi;Argentina;10;Atacante;lendaria;assets/images/stickers/selecoes-2026/sel-argentina-messi-01.webp
sel-argentina-lautaro-martinez-02;Lautaro Martínez;Argentina;9;Atacante;ouro;assets/images/stickers/selecoes-2026/sel-argentina-lautaro-martinez-02.webp
sel-argentina-di-maria-03;Di María;Argentina;11;Meia;rara;assets/images/stickers/selecoes-2026/sel-argentina-di-maria-03.webp
sel-argentina-emiliano-martinez-04;Emiliano Martínez;Argentina;1;Goleiro;rara;assets/images/stickers/selecoes-2026/sel-argentina-emiliano-martinez-04.webp
sel-franca-mbappe-01;Mbappé;França;10;Atacante;lendaria;assets/images/stickers/selecoes-2026/sel-franca-mbappe-01.webp
sel-franca-griezmann-02;Griezmann;França;7;Meia;ouro;assets/images/stickers/selecoes-2026/sel-franca-griezmann-02.webp
sel-franca-tchouameni-03;Tchouaméni;França;8;Volante;rara;assets/images/stickers/selecoes-2026/sel-franca-tchouameni-03.webp
sel-franca-maignan-04;Maignan;França;1;Goleiro;rara;assets/images/stickers/selecoes-2026/sel-franca-maignan-04.webp
sel-portugal-cristiano-ronaldo-01;Cristiano Ronaldo;Portugal;7;Atacante;lendaria;assets/images/stickers/selecoes-2026/sel-portugal-cristiano-ronaldo-01.webp
sel-portugal-bruno-fernandes-02;Bruno Fernandes;Portugal;8;Meia;ouro;assets/images/stickers/selecoes-2026/sel-portugal-bruno-fernandes-02.webp
sel-portugal-bernardo-silva-03;Bernardo Silva;Portugal;10;Meia;ouro;assets/images/stickers/selecoes-2026/sel-portugal-bernardo-silva-03.webp
sel-portugal-diogo-costa-04;Diogo Costa;Portugal;1;Goleiro;rara;assets/images/stickers/selecoes-2026/sel-portugal-diogo-costa-04.webp
sel-inglaterra-bellingham-01;Bellingham;Inglaterra;10;Meia;lendaria;assets/images/stickers/selecoes-2026/sel-inglaterra-bellingham-01.webp
sel-inglaterra-kane-02;Kane;Inglaterra;9;Atacante;ouro;assets/images/stickers/selecoes-2026/sel-inglaterra-kane-02.webp
sel-inglaterra-foden-03;Foden;Inglaterra;11;Meia;ouro;assets/images/stickers/selecoes-2026/sel-inglaterra-foden-03.webp
sel-inglaterra-saka-04;Saka;Inglaterra;7;Ponta;rara;assets/images/stickers/selecoes-2026/sel-inglaterra-saka-04.webp
sel-espanha-lamine-yamal-01;Lamine Yamal;Espanha;19;Ponta;ouro;assets/images/stickers/selecoes-2026/sel-espanha-lamine-yamal-01.webp
sel-espanha-pedri-02;Pedri;Espanha;8;Meia;ouro;assets/images/stickers/selecoes-2026/sel-espanha-pedri-02.webp
sel-espanha-rodri-03;Rodri;Espanha;16;Volante;ouro;assets/images/stickers/selecoes-2026/sel-espanha-rodri-03.webp
sel-espanha-unai-simon-04;Unai Simón;Espanha;1;Goleiro;rara;assets/images/stickers/selecoes-2026/sel-espanha-unai-simon-04.webp
sel-alemanha-musiala-01;Musiala;Alemanha;10;Meia;ouro;assets/images/stickers/selecoes-2026/sel-alemanha-musiala-01.webp
sel-alemanha-wirtz-02;Wirtz;Alemanha;17;Meia;ouro;assets/images/stickers/selecoes-2026/sel-alemanha-wirtz-02.webp
sel-alemanha-havertz-03;Havertz;Alemanha;7;Atacante;rara;assets/images/stickers/selecoes-2026/sel-alemanha-havertz-03.webp
sel-alemanha-neuer-04;Neuer;Alemanha;1;Goleiro;rara;assets/images/stickers/selecoes-2026/sel-alemanha-neuer-04.webp
sel-italia-donnarumma-01;Donnarumma;Itália;1;Goleiro;ouro;assets/images/stickers/selecoes-2026/sel-italia-donnarumma-01.webp
sel-italia-barella-02;Barella;Itália;18;Meia;rara;assets/images/stickers/selecoes-2026/sel-italia-barella-02.webp
sel-italia-chiesa-03;Chiesa;Itália;14;Ponta;rara;assets/images/stickers/selecoes-2026/sel-italia-chiesa-03.webp
sel-italia-bastoni-04;Bastoni;Itália;23;Zagueiro;comum;assets/images/stickers/selecoes-2026/sel-italia-bastoni-04.webp
sel-holanda-van-dijk-01;Van Dijk;Holanda;4;Zagueiro;ouro;assets/images/stickers/selecoes-2026/sel-holanda-van-dijk-01.webp
sel-holanda-de-jong-02;De Jong;Holanda;21;Meia;ouro;assets/images/stickers/selecoes-2026/sel-holanda-de-jong-02.webp
sel-holanda-gakpo-03;Gakpo;Holanda;11;Atacante;rara;assets/images/stickers/selecoes-2026/sel-holanda-gakpo-03.webp
sel-holanda-depay-04;Depay;Holanda;10;Atacante;rara;assets/images/stickers/selecoes-2026/sel-holanda-depay-04.webp
sel-uruguai-valverde-01;Valverde;Uruguai;15;Meia;ouro;assets/images/stickers/selecoes-2026/sel-uruguai-valverde-01.webp
sel-uruguai-darwin-nu-ez-02;Darwin Núñez;Uruguai;9;Atacante;rara;assets/images/stickers/selecoes-2026/sel-uruguai-darwin-nu-ez-02.webp
sel-uruguai-arrascaeta-03;Arrascaeta;Uruguai;10;Meia;rara;assets/images/stickers/selecoes-2026/sel-uruguai-arrascaeta-03.webp
sel-uruguai-rochet-04;Rochet;Uruguai;1;Goleiro;comum;assets/images/stickers/selecoes-2026/sel-uruguai-rochet-04.webp
sel-colombia-luis-diaz-01;Luis Díaz;Colômbia;7;Atacante;ouro;assets/images/stickers/selecoes-2026/sel-colombia-luis-diaz-01.webp
sel-colombia-james-rodriguez-02;James Rodríguez;Colômbia;10;Meia;rara;assets/images/stickers/selecoes-2026/sel-colombia-james-rodriguez-02.webp
sel-colombia-davinson-sanchez-03;Davinson Sánchez;Colômbia;23;Zagueiro;comum;assets/images/stickers/selecoes-2026/sel-colombia-davinson-sanchez-03.webp
sel-colombia-camilo-vargas-04;Camilo Vargas;Colômbia;12;Goleiro;comum;assets/images/stickers/selecoes-2026/sel-colombia-camilo-vargas-04.webp
sel-mexico-santiago-gimenez-01;Santiago Giménez;México;9;Atacante;rara;assets/images/stickers/selecoes-2026/sel-mexico-santiago-gimenez-01.webp
sel-mexico-lozano-02;Lozano;México;22;Ponta;rara;assets/images/stickers/selecoes-2026/sel-mexico-lozano-02.webp
sel-mexico-edson-alvarez-03;Edson Álvarez;México;4;Volante;comum;assets/images/stickers/selecoes-2026/sel-mexico-edson-alvarez-03.webp
sel-mexico-ochoa-04;Ochoa;México;13;Goleiro;comum;assets/images/stickers/selecoes-2026/sel-mexico-ochoa-04.webp
sel-estados-unidos-pulisic-01;Pulisic;Estados Unidos;10;Atacante;ouro;assets/images/stickers/selecoes-2026/sel-estados-unidos-pulisic-01.webp
sel-estados-unidos-reyna-02;Reyna;Estados Unidos;7;Meia;rara;assets/images/stickers/selecoes-2026/sel-estados-unidos-reyna-02.webp
sel-estados-unidos-mckennie-03;McKennie;Estados Unidos;8;Meia;comum;assets/images/stickers/selecoes-2026/sel-estados-unidos-mckennie-03.webp
sel-estados-unidos-turner-04;Turner;Estados Unidos;1;Goleiro;comum;assets/images/stickers/selecoes-2026/sel-estados-unidos-turner-04.webp
sel-canada-davies-01;Davies;Canadá;19;Lateral;ouro;assets/images/stickers/selecoes-2026/sel-canada-davies-01.webp
sel-canada-david-02;David;Canadá;20;Atacante;rara;assets/images/stickers/selecoes-2026/sel-canada-david-02.webp
sel-canada-larin-03;Larin;Canadá;17;Atacante;comum;assets/images/stickers/selecoes-2026/sel-canada-larin-03.webp
sel-canada-crepeau-04;Crépeau;Canadá;16;Goleiro;comum;assets/images/stickers/selecoes-2026/sel-canada-crepeau-04.webp
