id;nome;selecao/pagina;numero;posicao;raridade;status;caminho_da_imagem
brasil-1958-pele-01;Pelé;Brasil 1958;10;Atacante;lendaria;histórico;assets/images/stickers/brasil-1958/brasil-1958-pele-01.webp
brasil-1958-garrincha-02;Garrincha;Brasil 1958;7;Ponta;lendaria;histórico;assets/images/stickers/brasil-1958/brasil-1958-garrincha-02.webp
brasil-1958-didi-03;Didi;Brasil 1958;8;Meia;ouro;histórico;assets/images/stickers/brasil-1958/brasil-1958-didi-03.webp
brasil-1958-vava-04;Vavá;Brasil 1958;20;Atacante;ouro;histórico;assets/images/stickers/brasil-1958/brasil-1958-vava-04.webp
brasil-1958-nilton-santos-05;Nilton Santos;Brasil 1958;6;Lateral;rara;histórico;assets/images/stickers/brasil-1958/brasil-1958-nilton-santos-05.webp
brasil-1958-djalma-santos-06;Djalma Santos;Brasil 1958;4;Lateral;rara;histórico;assets/images/stickers/brasil-1958/brasil-1958-djalma-santos-06.webp
brasil-1958-bellini-07;Bellini;Brasil 1958;3;Zagueiro;rara;histórico;assets/images/stickers/brasil-1958/brasil-1958-bellini-07.webp
brasil-1958-gilmar-08;Gilmar;Brasil 1958;1;Goleiro;rara;histórico;assets/images/stickers/brasil-1958/brasil-1958-gilmar-08.webp
brasil-1958-zagallo-09;Zagallo;Brasil 1958;11;Ponta;rara;histórico;assets/images/stickers/brasil-1958/brasil-1958-zagallo-09.webp
brasil-1958-orlando-10;Orlando;Brasil 1958;2;Zagueiro;comum;histórico;assets/images/stickers/brasil-1958/brasil-1958-orlando-10.webp
brasil-1958-zito-11;Zito;Brasil 1958;5;Volante;comum;histórico;assets/images/stickers/brasil-1958/brasil-1958-zito-11.webp
brasil-1958-mazzola-12;Mazzola;Brasil 1958;18;Atacante;comum;histórico;assets/images/stickers/brasil-1958/brasil-1958-mazzola-12.webp
brasil-1962-garrincha-01;Garrincha;Brasil 1962;7;Ponta;lendaria;histórico;assets/images/stickers/brasil-1962/brasil-1962-garrincha-01.webp
brasil-1962-pele-02;Pelé;Brasil 1962;10;Atacante;lendaria;histórico;assets/images/stickers/brasil-1962/brasil-1962-pele-02.webp
brasil-1962-amarildo-03;Amarildo;Brasil 1962;20;Atacante;ouro;histórico;assets/images/stickers/brasil-1962/brasil-1962-amarildo-03.webp
brasil-1962-vava-04;Vavá;Brasil 1962;9;Atacante;ouro;histórico;assets/images/stickers/brasil-1962/brasil-1962-vava-04.webp
brasil-1962-didi-05;Didi;Brasil 1962;8;Meia;ouro;histórico;assets/images/stickers/brasil-1962/brasil-1962-didi-05.webp
brasil-1962-zagallo-06;Zagallo;Brasil 1962;11;Ponta;rara;histórico;assets/images/stickers/brasil-1962/brasil-1962-zagallo-06.webp
brasil-1962-zito-07;Zito;Brasil 1962;5;Volante;rara;histórico;assets/images/stickers/brasil-1962/brasil-1962-zito-07.webp
brasil-1962-nilton-santos-08;Nilton Santos;Brasil 1962;6;Lateral;rara;histórico;assets/images/stickers/brasil-1962/brasil-1962-nilton-santos-08.webp
brasil-1962-djalma-santos-09;Djalma Santos;Brasil 1962;4;Lateral;rara;histórico;assets/images/stickers/brasil-1962/brasil-1962-djalma-santos-09.webp
brasil-1962-mauro-ramos-10;Mauro Ramos;Brasil 1962;3;Zagueiro;comum;histórico;assets/images/stickers/brasil-1962/brasil-1962-mauro-ramos-10.webp
